MatchComplete,MatchID,Week,TeamID1,TeamID2
Y,1,1,2,5
Y,2,1,9,10
Y,3,1,4,7
Y,4,1,3,6
Y,5,1,1,8
Y,6,2,4,10
Y,7,2,2,6
Y,8,2,9,8
Y,9,2,1,3
Y,10,2,7,5
Y,11,3,7,6
Y,12,3,4,5
Y,13,3,10,8
Y,14,3,2,1
Y,15,3,9,3
Y,16,4,10,3
Y,17,4,5,6
Y,18,4,4,8
Y,19,4,7,1
Y,20,4,9,2
Y,21,5,7,9
Y,22,5,10,2
Y,23,5,5,1
Y,24,5,8,3
Y,25,5,4,6
Y,26,6,2,8
Y,27,6,4,3
Y,28,6,6,1
Y,29,6,5,9
Y,30,6,10,7
Y,31,7,4,1
Y,32,7,5,10
Y,33,7,3,2
Y,34,7,8,7
Y,35,7,6,9
Y,36,8,6,10
Y,37,8,3,7
Y,38,8,1,9
Y,39,8,8,5
Y,40,8,4,2
Y,41,9,3,5
Y,42,9,6,8
Y,43,9,2,7
Y,44,9,4,9
Y,45,9,1,10
Y,46,10,3,6
Y,47,10,1,8
Y,48,10,2,5
Y,49,10,9,10
Y,50,10,4,7
Y,51,11,9,8
Y,52,11,4,10
Y,53,11,1,3
Y,54,11,2,6
Y,55,11,7,5
Y,56,12,10,8
Y,57,12,2,1
Y,58,12,7,6
Y,59,12,9,3
Y,60,12,4,5
Y,61,13,9,2
Y,62,13,7,1
Y,63,13,4,8
Y,64,13,5,6
Y,65,13,10,3
Y,66,14,5,1
Y,67,14,7,9
Y,68,14,10,2
Y,69,14,4,6
Y,70,14,8,3
Y,71,15,7,3
Y,72,15,2,5
Y,73,15,10,8
Y,74,15,6,1
Y,75,15,4,9
Y,76,16,2,3
Y,77,16,7,5
Y,78,16,10,1
N,79,16,6,8
N,80,16,4,9
