Week,Par,Date,Course
0,36,4/23/2012,Silver Front
1,36,4/30/2012,Silver Front
2,37,5/7/2012,Silver Back
3,36,5/14/2012,Gold Front
4,36,5/21/2012,Gold Back
5,36,6/4/2012,Silver Front
6,37,6/11/2012,Silver Back
7,36,6/18/2012,Gold Front
8,36,6/25/2012,Gold Back
9,37,7/9/2012,Silver Back
10,36,7/16/2012,Gold Front
11,36,7/23/2012,Gold Back
12,36,7/30/2012,Silver Front
13,37,8/6/2012,Silver Back
14,36,8/13/2012,Gold Front
15,36,8/20/2012,Gold Back
16,36,8/27/2012,Silver Front
17,37,6/10/2012,Silver Back
